wgi_glacier_id, glacier_name, lat, lon, total_area, area_in_state, area_exp, mean_width, mean_length, mean_depth, max_length, max_length_abl, max_length_exp, num_basins, topo_scale, mean_elev, max_elev, min_elev, min_elev_exp, mean_elev_acc, snow_line_elev, mean_elev_abl, orientation_acc, orientation_abl, primary_class 
CA2N001GF254, ,57.203,-130.784,0.02,0.02,0.02,0.2, ,10,0.2, , , , , ,1734,1521,1521,1700, , , S, S,7
CA2O014AD012, ,61.695,-138.016, , , ,0.6, , , ,0.2,0.6, , , ,1675,1555, , , ,1610, , E,9
CA2O014AQ033, ,61.008,-139.698,0.23,0.23,0.23,0.4, , ,0.4, , , , , ,2900,2570,2570,2740, , , W, W,6
CA2N001GF272, ,57.324,-130.686,0.14,0.14,0.14,0.7, ,10,0.7, , , , , ,1981,1810,1810,1900, , , W, W,7
CA2N001GI240, ,57.301,-129.753,0.03,0.03,0.03,0.1, ,10,0.1, , , , , ,2060,2030,2030,2040, , , S, S,7
CA2N001FM220, ,56.5,-131.793,0.08,0.08,0.08,0.4, ,10,0.4, , , , , ,1432,1387,1387,1402, , , SE, SE,6
CA2N003BK026, ,60.694,-138.656,9.38,9.38,7.39,0.1, , ,0.6,4.6,1, , , ,2770,1500,1810,2440,2380,2130, N, N,5
US2O00301009, ,67.383,-154.2,1.86,1.86, , , , ,3.2, , , ,63360, ,1920,1040, , , , , NE, NE,5
CA2N001GG074, ,57.211,-130.593,0.08,0.08,0.08,0.8, ,10,0.8, , , , , ,1950,1700,1700,1820, , , SE, SE,7
CA2N003AG085, ,60.153,-136.645, , , ,0.8, , ,0.6,0.2,0.6, , , ,1905,1640,1690,1810,1765,1720, NE, NE,5
US2O00502017, ,68.283,-148.367,0.85,0.85, , , , ,1.9, , , ,63360, ,2010,1580, , , , , NE, NE,6
CA2N001CC321, ,57.17,-129.233,0.03,0.03,0.03,0.3, ,10,0.3, , , , , ,2012,1935,1935,1981, , , NE, NE,6
CA2N001EF110, ,57.452,-131.117,0.16,0.16,0.16,0.8, ,10,0.8, , , , , ,1890,1646,1646,1768, , , N, N,7
CA2N001FB062, ,57.019,-131.942,0.06,0.06,0.06,0.5, ,10,0.5,0.2, , , , ,920,610,610,770, , , S, S,7
CA2O014BF125, ,61.506,-140.746,1.07,1.07,0.61,0.3, , ,0.8,0.4,0.7, , , ,2590,1910,1970,2260,2100,2010, NE, NE,6
CA2N003AG057, ,60.17,-136.488, , , , , , ,0.1,2.1, , , , ,1920,1645, , , ,1765, , NW,6
CA2N001GI374, ,57.105,-129.825,0.04,0.04,0.04,0.5, ,10,0.5, , , , , ,1770,1620,1620,1700, , , N, N,7
CA2N001GG227, ,57.33,-130.545,0.14,0.14,0.14,0.9, ,10,0.9, , , , , ,1900,1635,1635,1775, , , NW, NW,7
CA2N001EF103, ,57.429,-131.22,0.06,0.06,0.06,0.5, ,10,0.5, , , , , ,1966,1783,1783,1874, , , SW, SW,7
CA2N001GM221, ,56.608,-131.212,0.06,0.06,0.06,0.6, ,10,0.6,0.2, , , , ,1810,1480,1480,1610, , , E, E,7
CA2O014AN014, ,61.234,-139.413,1.6,1.6, ,0.5, , ,0.5, ,0.1, , , ,2760,2050,2050,2400, , , NW, NW,7
CA2N001EG145, ,57.597,-131.361,0.4,0.4,0.4,0.7, ,10,0.7, ,0.1, , , ,1935,1341,1341,1707, , , NE, NE,6
CA2N001GE041, ,56.963,-130.663,0.5,0.5,0.47,0.3, ,25,0.3, ,0.1, , , ,2100,1430,1460,1920, , , E, E,6
US2O00301028, ,67.5,-154.667,0.23,0.23, , , , ,1.1, , , ,63360, ,1460,1130, , , , , NW, NW,6
CA2N001EE036, ,57.449,-130.785,0.1,0.1,0.1,0.8, ,10,0.8, , , , , ,1539,1478,1478,1509, , , N, N,7
CA2N001GI477, ,57.2,-130.036,0.22,0.22,0.06,0.7, ,10,0.2,0.2,0.5, , , ,2070,1740,1830,1980,1830,1790, W, W,6
CA2N002ED071, ,59.771,-135.805, , , , , , , , ,0.1, , , ,1890,1720,1720,1770, , , SE, SE,7
CA2O014AT006, ,61.346,-139.974,0.14,0.14,0.14,0.4, , ,0.4,0.4,0.1, , , ,2500,2300,2300,2430,2360,2330, NE, NE,6
CA2N001FG077, ,57.472,-131.875,0.15,0.15,0.15,0.7, ,10,0.7, , , , , ,1585,1189,1189,1432, , , NW, NW,6
CA2N001GH206, ,57.503,-129.878,0.21,0.21,0.15,0.9, ,10,0.8,0.2,0.1, , , ,2230,1830,1890,1980, ,1950, N, N,6
CA2N003BK051, ,60.674,-138.76,0.24,0.24,0.24,0.1, , ,0.1,0.4,0.6, , , ,2330,1900,1900,2240,2200,2150, N, N,5
