wgi_glacier_id, glacier_name, lat, lon, total_area, area_in_state, area_exp, mean_width, mean_length, mean_depth, max_length, max_length_abl, max_length_exp, num_basins, topo_scale, mean_elev, max_elev, min_elev, min_elev_exp, mean_elev_acc, snow_line_elev, mean_elev_abl, orientation_acc, orientation_abl, primary_class 
CA2O014AT026, ,61.388,-140.055,0.16,0.16,0.16,0.7, , ,0.7,0.4,0.1, , , ,2560,2350,2350,2470,2370,2360, W, W,6
CA2O016CC041, ,59.884,-135.602, , , , , , ,0.4,4.1,0.2, , , ,2290,1580,1830,2130,2000,1940, NE, NE,6
CA2N001FM107, ,56.561,-131.543,0.03,0.03,0.03,0.1, ,10,0.1, , , , , ,1190,1130,1130,1160, , , NE, NE,7
CA2N001EA527, ,57.886,-132.176,0.15,0.15,0.15,0.7, ,10,0.7,0.2, , , , ,1646,1448,1448,1480, , , SE, SE,7
CA2N001CC201, ,57.264,-129.283,0.05,0.05,0.05,0.4, ,10,0.4,0.2, , , , ,1829,1707,1707,1753, , , N, N,7
CA2O016CD128, ,60.045,-136.129, , , ,0.8, , ,0.5,0.2,0.5, , , ,2150,1965,1995,2135,2070,2025, N, N,6
CA2N001CC438, ,57.096,-129.497,0.62,0.62,0.62,0.6, ,25,0.6,0.2,0.1, , , ,2103,1737,1737,1935,1859,1798, NE, NE,6
CA2N001FA196, ,56.894,-131.939,0.07,0.07,0.07,0.2, ,10,0.2,0.2, , , , ,1160,760,760,960, , , E, E,7
CA2O014AN120, ,60.907,-139.151,7.45,7.45,7.45,0.9, , ,0.9,4.5,0.6, , , ,3050,1800,1910,2740,2420,2110, NW, NW,5
CA2N001FH164, ,57.368,-131.627,0.18,0.18,0.18,0.7, ,10,0.7, , , , , ,1740,1280,1280,1615, , , N, N,6
CA2O016CC093, ,60.166,-135.845, , , ,0.7, , , ,0.2,0.7, , , ,1735,1665, , , ,1675, , NE,9
CA2N001GG049, ,57.214,-130.459,0.09,0.09,0.09,0.6, ,10,0.6, , , , , ,1835,1644,1644,1750, , , NW, NW,7
CA2N001FC046, ,57.058,-131.907,0.02,0.02,0.02,0.2, ,10,0.2,0.2, , , , ,1200,1050,1050,1100, , , N, N,7
CA2N001FG065, ,57.484,-131.824,0.05,0.05,0.05,0.4, ,10,0.4, , , , , ,1189,884,884,1052, , , E, E,6
CA2O014AS049, ,61.073,-140.225,16.17,16.17,16.17,1, , ,0.9, ,0.2, , , ,5060,2550,2550,3500, , , NE, NE,7
CA2A72000011, ,64.375,-131.25, , , , , , , , , , ,250000, ,2250,1950, , , , , , ,0
CA2A48000308, ,61.875,-127.75, , , , , , , , , , ,250000, ,2230,1900, , , , , , ,0
CA2N002EB017, ,59.458,-136.577, , , ,0.3, , ,0.3, , , , , ,1520,1340,1340,1430, , , E, E,7
CA2N001FC145, ,57.123,-131.781,0.23,0.23,0.23,0.8, ,10,0.8,0.2, , , , ,1010,670,670,780, , , NE, NE,7
CA2N001AD330, ,57.441,-128.93,0.13,0.13,0.13,0.6, ,10,0.3, , , , , ,2073,1859,1981,2012, , , N, N,6
CA2N001CB209, ,57.277,-129.01,0.13,0.13,0.13,0.2, ,10,0.2, , , , , ,1814,1676,1676,1753, , , NE, NE,6
CA2O00800125, ,63.375,-130.25, , , , , , , , , , ,250000, ,2430,1990, , , , , , ,0
CA2O016CC030, ,59.813,-135.519, , , ,0.5, , ,0.6,4.2,0.6, , , ,2290,1230,1230,1920,1830,1370, NE, N,5
CA2N001EF102, ,57.431,-131.234,0.71,0.71,0.71,0.8, ,25,0.8,0.2,0.2, , , ,2073,1402,1402,1859, ,1951, SE, SE,6
CA2N003CB050, ,60.027,-137.331, , , ,0.6, , , ,0.4,0.6, , , ,1220,1100, , , ,1160, , N,9
CA2N003CA051, ,59.595,-137.391, , , ,0.8, , ,0.7,0.4,0.1, , , ,1690,1370,1430,1600,1435,1432, N, N,6
CA2N003CE008, ,59.765,-136.75, , , ,0.5, , ,0.7,0.4,0.9, , , ,2040,1360,1550,1830,1650,1600, E, E,5
CA2N001GG043, ,57.237,-130.418,0.05,0.05,0.05,0.6, ,10,0.6, , , , , ,1798,1417,1417,1600, , , N, N,7
CA2N001GF057, ,57.036,-130.931,12.31,12.31,11.83,0.5, ,150,0.6,2.4,0.3, , , ,1930,935,942,1613,1330,1151, NE, NE,5
US2O00303003, ,67.983,-151.067,0.1,0.1, , , , ,0.5, , , ,63360, ,1580,1340, , , , , NE, NE,6
CA2N001AD311, ,57.387,-128.928,0.02,0.02,0.02,0.4, ,10,0.4, , , , , ,1920,1829,1829,1920, , , SE, SE,7
CA2N001FC152, ,57.1,-131.818,3.77,3.77,3.77,0.4, ,50,0.4,0.2,0.1, , , ,1530,990,990,1260, , , NW, NW,6
CA2N001FF014, ,57.285,-132.065,1.75,1.75,1.75,0.9, ,25,0.9, ,0.2, , , ,1750,850,850,1200, , , NE, NE,6
CA2O016CD061, ,59.928,-135.898, , , ,0.1, , ,0.5,4.1,0.3, , , ,2300,1340,1450,1800,1740,1520, N, N,5
CA2N003CH070, ,59.294,-137.5, , , ,0.1, , ,0.2,4.1,0.9, , , ,1740,670,980,1460,1220,1100, N, N,5
CA2N001GH393, ,57.467,-129.955,0.05,0.05,0.05,0.5, ,10,0.5, , , , , ,2090,1920,1920,2010, , , W, W,7
CA2N001GG364, ,57.475,-130.609,0.51,0.51,0.51,0.8, ,25,0.8, , , , , ,1950,1682,1682,1830, , , W, W,6
CA2N003AI158, ,60.726,-137.686, , , ,0.7, , ,0.1,2.1,0.7, , , ,1525,610, , , ,990, , N,6
CA2N001AC129, ,57.216,-128.296,0.02,0.02,0.02,0.1, ,10,0.1, , , , , ,2134,2073,2073,2103, , , N, N,7
CA2N001CC272, ,57.171,-129.038,0.03,0.03,0.03,0.4, ,10,0.4, , , , , ,1890,1768,1768,1829, , , NE, NE,6
US2A00204003, ,69.1,-143.467,4.27,4.27, , , , ,3.9, , , ,63360, ,2500,1520, , , , , NE, NE,5
CA2O014AL079, ,60.733,-139.209,0.27,0.27,0.27, , , , ,0.4,0.2, , , ,2500,1820,1820,2250,1920,1860, N, N,5
CA2O014BF077, ,61.33,-140.886,5.76,5.76,5.76,0.6, , ,0.7,4.1,0.9, , , ,3410,2100,2100,2740,2320,2230, NW, NW,5
US2A00101026, ,68.1,-149.983,0.75,0.75, , , , ,1.9, , , ,63360, ,1830,1430, , , , , NW, NW,5
CA2N002EC068, ,59.746,-136.388, , , ,0.2, , ,0.7,0.2,0.9, , , ,2010,1460,1650,1920,1830,1740, NW, NW,5
US2O00502007, ,68.25,-148.05,0.23,0.23, , , , ,0.5, , , ,63360, ,1890,1580, , , , , NW, NW,6
CA2O014AQ050, ,60.935,-139.725,0.52,0.52, ,0.6, , ,0.6, , , , , ,3360,2740,2740,3050, , , NW, NW,7
CA2N001EG043, ,57.695,-131.305,0.06,0.06,0.06,0.4, ,10,0.4, , , , , ,1646,1524,1524,1615, , , N, N,7
CA2N001EA024, ,57.556,-131.92,1.26,1.26,1.24,0.1, ,25,0.9,0.2, , , , ,2073,1417,1417,1844, , , NW, NW,6
CA2N001GF012, ,57.022,-130.507,0.29,0.29,0.29, , ,10, , ,0.1, , , ,1859,1558,1558,1705, , , NW, NW,6
CA2N001FI051, ,57.296,-131.434,1.11,1.11,1.11,0.2, ,25,0.2, ,0.1, , , ,2100,1675,1675,1920, , , N, N,6
CA2N003CF014, ,59.752,-136.99, , , ,0.6, , , ,0.4,0.6, , , ,1630,1460, , , ,1520, , NW,6
CA2N001FK065, ,56.885,-131.365,20.9,20.9,11.44,0.1, ,150,0.8,21.5,0.7, , , ,2364,137,137,1859,1500,457, NE, NW,5
CA2N001EA026, ,57.526,-131.963,0.58,0.58,0.58,0.3, ,25,0.3,0.2,0.1, , , ,2012,1432,1432,1661, , , N, N,6
CA2N001GI188, ,57.329,-129.869,0.02,0.02,0.02,0.2, ,10,0.2, , , , , ,1880,1820,1820,1860, , , NE, NE,7
CA2N001EA470, ,57.837,-131.954,0.05,0.05,0.05,0.3, ,10,0.3, , , , , ,1417,1326,1326,1387, , , NW, NW,7
US2O01200001, GULKANA,63.27,-145.42,19.7,19.7, , , , ,10, , , ,63360,1860,2470,1160, , , , , , ,5
US2A00207071, ,69.167,-144.917,0.78,0.78, , , , ,1.9, , , ,63360, ,2260,1580, , , , , SE, SE,6
US2N00000024, ,58.36,-134.4,14.4, , , , , ,5.1, , , , , ,1524,427, , , , , , , 
CA2N001FM168, ,56.505,-131.666,0.12,0.12,0.12,0.8, ,10,0.8, , , , , ,1200,800,800,1050, , , SE, SE,6
CA2N001EA247, ,57.577,-132.467,0.54,0.54,0.54,0.7, ,25,0.7,0.2, , , , ,1539,1082,1082,1265, , , E, E,4
CA2N001FM087, ,56.522,-131.492,0.36,0.36,0.36,0.7, ,10,0.7, ,0.1, , , ,1250,975,975,1128, , , NE, NE,6
CA2N001GF132, ,57.05,-130.818,0.07,0.07,0.07,0.6, ,10,0.6, , , , , ,1710,1400,1400,1550, , , N, N,7
CA2N003CB037, ,59.991,-137.527, , , ,0.1, , ,0.1,0.4,0.6, , , ,1800,1330,1330,1740,1680,1490, NE, NE,5
CA2N001CD025, ,57.631,-129.648,0.05,0.05,0.05,0.1, ,10,0.1, , , , , ,1783,1753,1753,1768, , , SE, SE,7
CA2N001GI287, ,57.198,-129.839,0.04,0.04,0.04,0.2, ,10,0.2, , , , , ,2000,1860,1860,1970, , , N, N,6
CA2N001EA439, ,57.759,-131.871,0.39,0.39,0.39,0.2, ,10,0.2, ,0.1, , , ,1981,1524,1524,1737, , , SE, SE,6
CA2O014AO108, ,60.922,-139.486,0.16,0.16,0.16,0.4, , ,0.4,0.4,0.2, , , ,2300,1980,1980,2210,2120,2000, N, N,6
CA2O016CF059, ,60.231,-136.455, , , ,0.4, , , ,0.2,0.4, , , ,1735,1600, , , ,1645, , NE,9
CA2N001GD036, ,56.879,-130.764,3.43,3.43,3.41,0.8, ,70,0.7,2.1,0.5, , , ,2042,978,1005,1640,1330,1170, NE, E,5
CA2N001GJ146, ,56.924,-129.958,0.03,0.03,0.03,0.4, ,10,0.4, , , , , ,1720,1636,1636,1660, , , NE, NE,7
CA2N001CC058, ,57.337,-129.306,0.02,0.02,0.02,0.2, ,10,0.2,0.2, , , , ,1798,1737,1737,1768, , , SE, SE,7
CA2N001GF321, ,57.122,-130.595,0.08,0.08,0.08,0.5, ,10,0.5, , , , , ,1910,1600,1600,1800, , , SW, SW,7
CA2N001FB045, ,56.995,-131.912,0.02,0.02,0.02,0.1, ,10,0.1,0.2, , , , ,1000,900,900,960, , , NW, NW,7
CA2N002FA016, ,58.963,-137.318, , , ,0.8, , ,0.8, ,0.1, , , ,2130,1400,1400,1680, , , NW, NW,5
CA2N001AC139, ,57.371,-128.099,0.05,0.05,0.05,0.2, ,10,0.2, , , , , ,2134,1951,1951,2073, , , NE, NE,7
CA2O014BD019, ,61.534,-140.178,0.12,0.12,0.12,0.6, , , ,0.2,0.6, , , ,1645,1465, , , ,1555, , N,9
CA2O014AM214, ,61.14,-139.178,1.31,1.31,1.31, , , ,0.2,4.2, , , , ,2140,1650, , , ,1900, , NE,9
CA2N001BA047, ,58.238,-129.633,0.29,0.29,0.29,0.5, ,10,0.5, ,0.1, , , ,2050,1650,1650,1850, , , NE, NE,6
CA2N001FI072, ,57.341,-131.21,1.3,1.3,1.3,0.8, ,25,0.8,0.2,0.2, , , ,2230,1670,1670,1890,1810,1740, S, S,6
US2A00208027, ,69.283,-145.267,1.22,1.22, , , , ,2.4, , , ,63360, ,2070,1430, , , , , NE, NE,5
CA2N001EA190, ,57.409,-132.25,0.14,0.14,0.14,0.6, ,10,0.6,0.2, , , , ,1981,1692,1692,1829, , , W, W,6
CA2N001GI326, ,57.165,-129.837,0.05,0.05,0.05,0.3, ,10,0.3, , , , , ,1680,1550,1550,1590, , , N, N,7
CA2O014AM080, ,61.28,-139.202,0.09,0.09,0.09,0.4, , , ,0.4,0.4, , , ,1200,1050, , , ,1125, , NE,9
CA2N001CC727, ,57.424,-129.501,0.05,0.05,0.05,0.2, ,10,0.2,0.2, , , , ,1829,1676,1676,1783, , , S, S,6
CA2N001GM244, ,56.66,-131.26,0.11,0.11,0.11,0.6, ,10,0.6,0.2, , , , ,1620,1220,1220,1510, , , NW, NW,7
US2A00207021, ,69.133,-144.25,0.85,0.85, , , , ,1.4, , , ,63360, ,2380,1770, , , , , NW, NW,6
CA2N002EC055, ,59.853,-136.385, , , ,0.6, , , ,2.1,0.7, , , ,2160,1390,1460,1830,1720,1550, E, E,5
CA2O014AN098, ,60.953,-139.076,0.1,0.1,0.1,0.4, , ,0.4, , , , , ,2740,2440,2440,2590, , , E, E,6
CA2N001GL054, ,56.533,-130.896,0.05,0.05,0.05,0.5, ,10,0.5,0.2,0.5, , , ,1890,1798,1798,1829, , , SE, SE,6
CA2N002FA061, ,59.075,-137.482, , , ,0.9, , ,0.9, , , , , ,2740,2260,2260,2440, , , E, E,7
CA2N001GH105, ,57.498,-129.687,0.1,0.1,0.1,0.2, ,10,0.2, , , , , ,2100,2040,2040,2070, , , E, E,7
CA2O014AJ008, ,61.268,-137.973, , , ,0.3, , ,0.3,0.2,0.3, , , ,2135,2010,2010, , ,2050, , N,7
CA2N002EB043, ,59.539,-136.623, , , ,0.5, , ,0.9,0.4,0.5, , , ,1680,970,1070,1490,1280,1220, E, E,5
CA2N001FI120, ,57.178,-131.111,97.04,97.04,92.06, , ,200, ,21.2,0.5, , , ,2819,427,427,1700,1550,1250, W, W,5
CA2N001GI445, ,57.232,-130.087,0.25,0.25,0.25,0.3, ,10,0.3, ,0.1, , , ,1910,1620,1620,1830, , , N, N,6
CA2N001FA101, ,56.781,-131.85,0.02,0.02,0.02,0.2, ,10,0.2,0.2, , , , ,1310,1280,1280,1300, , , W, W,7
CA2N003CD057, ,59.865,-136.489, , , ,0.2, , ,0.4,0.2,0.9, , , ,1770,1500,1630,1720,1675,1655, N, NW,5
CA2O014BE010, ,61.441,-140.224,0.33,0.33,0.33, , , , ,0.4,0.3, , , ,2500,2160,2160,2420,2290,2210, W, W,5
CA2O014AL008, ,60.91,-138.533,0.05,0.05,0.05, , , , , ,0.1, , , ,2140,1970,1970,2040, , , N, N,6
CA2N001FA104, ,56.78,-131.859,0.01,0.01,0.01,0.3, ,10,0.3,0.2, , , , ,1160,850,850,1000, , , W, W,7
CA2N001CB286, ,57.432,-129.303,0.04,0.04,0.04,0.2, ,10,0.2,0.2, , , , ,1859,1707,1707,1798, , , NW, NW,6
CA2N001GH107, ,57.49,-129.676,0.1,0.1,0.1,0.5, ,10,0.5, , , , , ,1970,1950,1950,1960, , , W, W,7
CA2N001CC127, ,57.285,-129.43,0.09,0.09,0.09,0.2, ,10,0.2,0.2, , , , ,1859,1798,1798,1844, , , SW, SW,6
CA2N003AI008, ,60.535,-137.229, , , ,0.7, , ,0.2,2.2,0.7, , , ,1800,820, , , ,1430, , NE,6
CA2N001FA161, ,56.83,-131.901,0.04,0.04,0.04,0.7, ,10,0.7,0.2, , , , ,980,910,910,940, , , SE, SE,7
CA2O014BC033, ,61.854,-140.276,0.13,0.13,0.13,0.3, , , ,0.2,0.3, , , ,1570,1400, , , ,1465, , N,9
CA2N001GC053, ,56.799,-130.798,0.05,0.05,0.05,0.6, ,10,0.6, , , , , ,1432,1402,1402,1417, , , W, W,6
CA2N001CC693, ,57.371,-129.806,0.03,0.03,0.03,0.1, ,10,0.1,0.2, , , , ,1951,1890,1890,1920, , , SE, SE,7
CA2N001GI030, ,57.437,-129.859,0.02,0.02,0.02,0.1, ,10,0.1, , , , , ,2100,2070,2070,2090, , , S, S,7
CA2N001CC558, ,57.217,-129.464,0.03,0.03,0.03,0.3, ,10,0.3,0.2, , , , ,1890,1753,1753,1829, , , NE, NE,7
CA2N001EA244, ,57.533,-132.453,6.51,6.51,6.51,0.7, ,50,0.7,0.2,0.9, , , ,2287,875,1006,1829,1050,945, NE, NE,6
CA2O014AM096, ,61.088,-138.979,0.54,0.54,0.37,0.5, , ,0.9,4.1, , , , ,2320,1840,2040,2230,2130,2100, NW, NW,6
US2A00207077, ,69.233,-144.883,0.78,0.78, , , , ,1.8, , , ,63360, ,2440,1620, , , , , NE, NE,6
CA2N001GI250, ,57.275,-129.71,0.04,0.04,0.04,0.3, ,10,0.3, , , , , ,1900,1780,1780,1830, , , N, N,7
CA2N003CH056, ,59.222,-137.35, , , ,0.5, , ,0.5,0.4,0.1, , , ,1430,1160,1160,1340,1260,1220, NW, NW,6
CA2N001EA551, ,57.909,-131.932,0.19,0.19,0.19,0.7, ,10,0.7,0.2, , , , ,1859,1707,1707,1814, , , W, W,7
CA2N003BJ048, ,60.619,-138.615, , , ,0.9, , ,0.9,0.4,0.6, , , ,2560,2210,2210,2480,2440,2350, S, S,5
CA2N001FC014, ,57.028,-131.926,0.05,0.05,0.05,0.5, ,10,0.5,0.2, , , , ,1130,840,840,990, , , N, N,7
CA2N001GI392, ,57.035,-129.868,0.05,0.05,0.05,0.5, ,10,0.5, , , , , ,1860,1600,1600,1730, , , N, N,7
CA2N001AD472, ,57.653,-128.918,0.03,0.03,0.03,0.7, ,10,0.4, , , , , ,1951,1768,1768,1859, , , NE, NE,7
CA2N003AI094, ,60.436,-137.697, , , ,0.1, , ,0.4,4.2,0.1, , , ,1810,930,1650, , ,1710, , N,5
CA2N001EF109, ,57.456,-131.108,0.05,0.05,0.05,0.4, ,10,0.4, , , , , ,1737,1494,1494,1585, , , N, N,7
US2N31350000, NORTHEASTERN,59.8,-149.96,14.53,14.53, , , , ,7, , , , ,490,1430,0, , , , , , ,5
CA2N003CD003, ,60.065,-136.568, , , ,0.9, , , ,0.2,0.9, , , ,1700,1550, , , ,1630, , NE,6
CA2N001CC555, ,57.21,-129.46,0.05,0.05,0.05,0.3, ,10,0.3,0.2, , , , ,2073,1890,1890,1981, , , NE, NE,6
CA2N001CC109, ,57.305,-129.378,0.02,0.02,0.02,0.1, ,10,0.1,0.2, , , , ,2042,1981,1981,2012, , , NE, NE,7
CA2N001BD059, ,57.765,-129.279,0.03,0.03,0.03,0.4, ,10,0.2, , , , , ,2025,1900,1900,1950, , , NE, NE,7
CA2N001CB096, ,57.408,-129.027,0.32,0.32,0.08,0.9, ,10,0.3,0.2,0.6, , , ,2134,1676,1798,1981, ,1829, NE, NE,6
CA2N001GG238, ,57.361,-130.415,0.06,0.06,0.06,0.3, ,10,0.3, , , , , ,1860,1660,1660,1760, , , NW, NW,7
CA2N001GI159, ,57.322,-129.936,0.06,0.06,0.06,0.2, ,10,0.2, , , , , ,2040,1920,1920,1980, , , N, N,6
CA2O014AQ060, ,60.883,-139.757,1.51,1.51,1.51,0.7, , ,0.7, , , , , ,3600,2880,2880,3240, , , NW, NW,7
CA2N001FL005, ,56.942,-131.628,0.53,0.53,0.53,0.8, ,25,0.8, ,0.1, , , ,1829,1143,1143,1463, , , NW, NW,6
CA2N001FB063, ,57.018,-131.935,0.01,0.01,0.01,0.1, ,10,0.1,0.2, , , , ,640,620,620,630, , , S, S,7
CA2N001AD284, ,57.355,-128.805,0.08,0.08,0.08,0.6, ,10,0.6, , , , , ,1920,1768,1768,1859, , , W, W,7
CA2N001GH177, ,57.56,-129.781,0.02,0.02,0.02,0.1, ,10,0.1, , , , , ,1920,1800,1800,1880, , , E, E,7
CA2N001FD026, ,57.156,-131.971,0.05,0.05,0.05,0.3, ,10,0.3, , , , , ,670,533,533,564, , , N, N,6
CA2N003CD005, ,60.074,-136.502, , , ,0.5, , , ,0.2,0.5, , , ,1700,1600, , , ,1650, , W,6
CA2N003AI120, ,60.581,-137.433, , , ,0.6, , ,0.6,0.2,0.6, , , ,1800,1610,1610, , ,1675, , NW,5
CA2N001CB222, ,57.309,-129.051,0.05,0.05,0.05,0.4, ,10,0.4, , , , , ,1951,1798,1798,1859, , , N, N,5
CA2O014AL104, ,60.816,-139.057,0.03,0.03,0.03,0.2, , ,0.2, , , , , ,3060,2860,2860,2910, , , S, S,6
CA2N003AB003, ,61.017,-137.418, , , ,0.6, , , ,0.2,0.6, , , ,1705,1570, , , ,1630, , N,9
CA2N001FA204, ,56.926,-131.936,0.4,0.4,0.4,0.7, ,10,0.7,0.2, , , , ,1390,950,950,1170, , , SW, SW,4
CA2O014BC023, ,61.684,-140.221,1.17,1.17,1.17,0.7, , ,0.2,2.2,0.7, , , ,1935,1370, , , ,1525, , N,9
CA2N001FF034, ,57.347,-131.963,0.12,0.12,0.12,0.5, ,10,0.5, , , , , ,1631,1158,1158,1417, , , S, S,6
CA2O00800106, ,63.625,-130.75, , , , , , , , , , ,250000, ,2300,1500, , , , , , ,0
CA2N001CC352, ,57.124,-129.268,0.05,0.05,0.05,0.3, ,10,0.3, , , , , ,1798,1707,1707,1737, , , E, E,6
CA2N001GJ069, ,57.004,-130.07,0.33,0.33,0.33, , ,10, , ,0.1, , , ,2100,1680,1680,1820, , , NE, NE,6
CA2N001FH031, ,57.513,-131.497,1.68,1.68,1.52,0.1, ,25,0.8,2.1,0.3, , , ,1951,1372, ,1631,1615,1463, NE, NE,6
CA2N003AI038, ,60.374,-137.316, , , ,0.3, , ,0.4,2.1,0.3, , , ,1830,1400,1645, , ,1705, , N,6
CA2N001CB094, ,57.4,-129.015,0.08,0.08,0.08,0.1, ,10,0.1,0.2, , , , ,1951,1859,1920,1935, , , E, E,6
CA2N003BJ027, ,60.531,-138.5, , , ,0.2, , ,0.2,0.4,0.3, , , ,2210,1770,1770,2060,1920,1830, N, N,5
CA2O014AL116, ,60.799,-138.924,0.82,0.82,0.82,0.9, , ,0.9,4.1,0.4, , , ,2900,2020,2020,2560,2410,2170, N, N,5
CA2N001GJ211, ,56.833,-130.011,0.03,0.03,0.03,0.3, ,10,0.3, , , , , ,1650,1490,1490,1585, , , N, N,7
CA2N001FL027, ,56.877,-131.624,0.53,0.53,0.53,0.9, ,25,0.9, ,0.1, , , ,2134,1097,1097,1676, , , SW, SW,5
US2A00101041, ,68.05,-150.25,0.65,0.65, , , , ,1.8, , , ,63360, ,1830,1460, , , , , NE, NE,6
CA2N001GJ103, ,56.961,-130.014,0.04,0.04,0.04,0.2, ,10,0.2, , , , , ,1680,1490,1490,1600, , , NW, NW,6
CA2N001GF058, ,57.015,-130.981,0.06,0.06,0.06,0.4, ,10,0.4, , , , , ,1856,1554,1554,1700, , , S, S,7
CA2N001GH298, ,57.543,-129.932,0.09,0.09,0.09,0.3, ,10,0.3, , , , , ,2010,1830,1830,1980, , , W, W,6
US2A00101068, ,68.3,-150.283,0.8,0.8, , , , ,1.8, , , ,63360, ,2100,1490, , , , , N, N,6
CA2N001CC554, ,57.209,-129.457,0.05,0.05,0.05,0.4, ,10,0.4,0.2, , , , ,2042,1859,1859,1966, , , N, N,6
CA2N001FM045, ,56.628,-131.576,0.04,0.04,0.04,0.5, ,10,0.5, , , , , ,1540,1250,1250,1495, , , S, S,6
CA2O014AQ091, ,60.998,-139.943,4.96,4.96, ,1, , ,0.9, , , , , ,3810,2430,2430,3120, , , N, N,7
CA2N001EA293, ,57.669,-132.43,0.24,0.24,0.24,0.1, ,10,0.1,0.2,0.1, , , ,1905,1311,1311,1615, , , E, E,7
CA2N001EE173, ,57.496,-130.919,0.18,0.18,0.18,0.8, ,10,0.8, , , , , ,1798,1554,1554,1737, , , E, E,7
CA2N002EC029, ,59.665,-136.422, , , ,0.4, , ,0.4,0.2,0.4, , , ,1520,1390,1390, , ,1460, , NE,7
CA2N003BN092, ,60.246,-137.498, , , ,0.7, , , ,0.4,0.7, , , ,1720,1445, , , ,1555, , NE,6
CA2N001CC185, ,57.237,-129.245,0.03,0.03,0.03,0.2, ,10,0.2,0.2, , , , ,1798,1707,1707,1753, , , N, N,7
CA2N001GF068, ,57.059,-131.013,0.05,0.05,0.05,0.8, ,10,0.8, , , , , ,1430,1305,1305,1360, , , NE, NE,7
CA2O014BF078, ,61.32,-140.903,0.23,0.23,0.23,0.1, , ,0.1,0.4,0.7, , , ,2560,2330,2330,2530,2500,2440, NW, NW,6
CA2N001BD012, ,57.824,-128.779,0.05,0.05,0.05,0.6, ,10,0.6,0.2, , , , ,1707,1676,1676,1692, , , N, N,7
CA2N001EA313, ,57.728,-132.461,0.15,0.15,0.15,0.5, ,10,0.5,0.2, , , , ,1920,1402,1402,1570, , , SE, SE,7
CA2N001BA019, ,58.326,-129.64,0.08,0.08,0.08,0.6, ,10,0.6, , , , , ,1700,1500,1500,1600, , , N, N,6
CA2N003CA086, ,59.705,-137.451, , , ,0.5, , ,0.5,0.4,0.5, , , ,1830,1300,1300,1620,1460,1430, E, E,5
US2N00000002, ,60.79,-144.8,221.9, , , , , ,30.5, , , , , ,2225,0, , , , , , , 
CA2O016CF083, ,60.606,-136.384, , , ,0.8, , ,0.1,2.1,0.8, , , ,1975,1500, , , ,1585, , SE,9
CA2N001GF306, ,57.175,-130.642,0.06,0.06,0.06,0.8, ,10,0.8, , , , , ,2435,2000,2000,2200, , , S, S,7
CA2N001CC300, ,57.159,-129.208,0.05,0.05,0.05,0.3, ,10,0.3, , , , , ,1981,1890,1890,1935, , , SE, SE,7
CA2N001GG351, ,57.47,-130.532,0.02,0.02,0.02,0.6, ,10,0.6, , , , , ,1753,1615,1615,1685, , , NE, NE,7
CA2N001GM007, ,56.606,-131.044,0.03,0.03,0.03,0.4, ,10,0.4,0.2, , , , ,1835,1730,1730,1790, , , W, W,7
CA2N001FM089, ,56.49,-131.529,0.47,0.47,0.47, , ,10, ,0.2,0.1, , , ,1676,1100,1100,1450, , , NE, NE,6
CA2N001CC599, ,57.166,-129.551,0.06,0.06,0.06,0.2, ,10,0.2,0.2, , , , ,1798,1753,1753,1768, , , NW, NW,7
CA2O014AQ078, ,60.941,-139.913,2.07,2.07,2.07,0.7, , ,0.7, ,0.2, , , ,3050,2560,2560,2800, , , S, S,5
CA2N001GD013, ,56.782,-130.756,2.54,2.54,2.54,0.3, ,70,0.3, ,0.2, , , ,2000,1173,1173,1700, , , NE, N,5
CA2N001EA446, ,57.785,-131.851,0.56,0.56,0.56, , ,25, , ,0.1, , , ,1814,1402,1402,1676, , , E, E,6
CA2O014AR012, ,61.132,-139.747,0.65,0.65,0.41,0.3, , ,0.8,4.1,0.3, , , ,2500,1670,1890,2400,2300,2100, NW, NW,5
CA2N001CC205, ,57.284,-129.295,4.31,4.31,4.31, , ,50, ,0.2,0.9, , , ,2073,1707,1707,1920,1905,1829, S, S,6
CA2N001GK004, ,56.842,-130.328,0.01,0.01,0.01,0.2, ,10,0.2, , , , , ,1690,1590,1590, , , , NW, NW,7
CA2O014BF127, ,61.601,-140.753,0.42,0.42,0.28,0.1, , ,0.7,0.4,0.7, , , ,2320,1810,1950,2130,2040,2010, N, N,6
CA2N001EA415, ,57.73,-132.145,6.07,6.07,5.9,0.4, ,100,0.5,2.1,0.9, , , ,2195,975,975,2073,1676,1372, E, E,5
CA2N001BA090, ,58.151,-129.659,0.1,0.1,0.1,0.7, ,10,0.7, , , , , ,1900,1700,1700,1800, , , N, N,6
CA2N003BB023, ,59.736,-138.237, , , ,0.2, , ,0.2,0.4,0.3, , , ,1400,850,850,1170,990,940, N, N,5
CA2O014AM225, ,61.202,-139.29,0.09,0.09,0.09,0.5, , , ,0.4,0.5, , , ,2440,2100, , , ,2270, , NE,6
CA2N001CC292, ,57.131,-129.177,0.02,0.02,0.02,0.2, ,10,0.2, , , , , ,1859,1814,1814,1829, , , SE, SE,7
CA2N001CC668, ,57.298,-129.697,0.72,0.72,0.72, , ,25, ,0.2,0.9, , , ,2088,1737,1737,1920, ,1844, N, N,6
CA2O014AN078, ,61.047,-139.259,0.73,0.73,0.57,0.1, , ,0.9,0.4,0.6, , , ,2440,1830,1980,2360,2290,2060, NW, NW,5
